Data,Hora UTC,"TEMPERATURA DO AR - BULBO SECO, HORARIA ( C)",UMIDADE REL. MAX. NA HORA ANT. (AUT) (%)
16/1/2019,1900 UTC,"26,7",43
16/1/2019,2000 UTC,"25,9",67
16/1/2019,2100 UTC,"25,6",53
16/1/2019,2200 UTC,"24,8",73
16/1/2019,2300 UTC,"24,2",100
17/1/2019,0000 UTC,"23,9",86
17/1/2019,0100 UTC,"23,5",73
17/1/2019,0200 UTC,"23,1",67
17/1/2019,0300 UTC,"22,4",63
17/1/2019,0400 UTC,"22,1",81
17/1/2019,0500 UTC,"21,6",80
17/1/2019,0600 UTC,"21,5",66
17/1/2019,0700 UTC,"21,2",69
17/1/2019,0800 UTC,"21,3",84
17/1/2019,0900 UTC,"23,1",79
17/1/2019,1000 UTC,"25,4",96
17/1/2019,1100 UTC,"27,4",79
17/1/2019,1200 UTC,"29,1",47
17/1/2019,1300 UTC,"29,5",53
17/1/2019,1400 UTC,"29,4",58
17/1/2019,1500 UTC,25,82
17/1/2019,1600 UTC,"23,4",44
17/1/2019,1700 UTC,"22,9",73
17/1/2019,1800 UTC,"21,2",65
17/1/2019,1900 UTC,21,85
17/1/2019,2000 UTC,"21,5",47
17/1/2019,2100 UTC,"21,4",85
17/1/2019,2200 UTC,"21,6",48
17/1/2019,2300 UTC,"21,4",61
18/1/2019,0000 UTC,"21,1",70
18/1/2019,0100 UTC,"20,8",83
18/1/2019,0200 UTC,"20,7",48
18/1/2019,0300 UTC,"20,6",94
18/1/2019,0400 UTC,"20,3",93
18/1/2019,0500 UTC,20,87
18/1/2019,0600 UTC,"19,9",52
18/1/2019,0700 UTC,"19,9",83
18/1/2019,0800 UTC,"19,4",41
18/1/2019,0900 UTC,"20,3",60
18/1/2019,1000 UTC,22,57
18/1/2019,1100 UTC,"23,9",47
18/1/2019,1200 UTC,25,94
18/1/2019,1300 UTC,26,69
18/1/2019,1400 UTC,"26,4",41
18/1/2019,1500 UTC,"26,8",45
18/1/2019,1600 UTC,"28,6",75
18/1/2019,1700 UTC,"29,2",78
18/1/2019,1800 UTC,"29,5",97
18/1/2019,1900 UTC,"29,5",76
18/1/2019,2000 UTC,"25,8",46
18/1/2019,2100 UTC,"24,2",52
18/1/2019,2200 UTC,"23,1",58
18/1/2019,2300 UTC,"22,3",89
19/1/2019,0000 UTC,"21,9",92
19/1/2019,0100 UTC,"22,1",57
19/1/2019,0200 UTC,"21,7",77
19/1/2019,0300 UTC,"21,7",73
19/1/2019,0400 UTC,"21,3",47
19/1/2019,0500 UTC,"20,8",46
19/1/2019,0600 UTC,"20,7",87
19/1/2019,0700 UTC,"20,6",45
19/1/2019,0800 UTC,"20,4",76
19/1/2019,0900 UTC,"21,3",65
19/1/2019,1000 UTC,"23,4",67
19/1/2019,1100 UTC,"25,4",77
19/1/2019,1200 UTC,"26,3",80
19/1/2019,1300 UTC,"27,1",97
19/1/2019,1400 UTC,"28,4",69
19/1/2019,1500 UTC,"29,2",75
19/1/2019,1600 UTC,"28,7",63
19/1/2019,1700 UTC,"29,1",71
19/1/2019,1800 UTC,"29,4",78
19/1/2019,1900 UTC,"29,1",84
19/1/2019,2000 UTC,"27,2",42
19/1/2019,2100 UTC,"22,1",91
19/1/2019,2200 UTC,"20,8",85
19/1/2019,2300 UTC,"20,6",69
20/1/2019,0000 UTC,20,64
20/1/2019,0100 UTC,20,91
20/1/2019,0200 UTC,"19,1",45
20/1/2019,0300 UTC,"18,3",94
20/1/2019,0400 UTC,"18,5",87
20/1/2019,0500 UTC,"18,5",44
20/1/2019,0600 UTC,"18,5",44
20/1/2019,0700 UTC,"18,6",62
20/1/2019,0800 UTC,"18,4",99
20/1/2019,0900 UTC,"18,3",60
20/1/2019,1000 UTC,19,90
20/1/2019,1100 UTC,19,54
20/1/2019,1200 UTC,"21,1",78
20/1/2019,1300 UTC,"21,8",85
20/1/2019,1400 UTC,"22,3",88
20/1/2019,1500 UTC,"22,7",62
20/1/2019,1600 UTC,"22,1",97
20/1/2019,1700 UTC,"23,4",42
20/1/2019,1800 UTC,"22,2",70
20/1/2019,1900 UTC,"21,5",55
20/1/2019,2000 UTC,"21,1",75
20/1/2019,2100 UTC,"20,4",52
20/1/2019,2200 UTC,"19,6",95
20/1/2019,2300 UTC,"19,4",91
21/1/2019,0000 UTC,"19,3",58
21/1/2019,0100 UTC,"19,4",98
21/1/2019,0200 UTC,"19,3",71
21/1/2019,0300 UTC,"19,1",91
21/1/2019,0400 UTC,19,100
21/1/2019,0500 UTC,"19,2",81
21/1/2019,0600 UTC,"19,4",81
21/1/2019,0700 UTC,"19,5",100
21/1/2019,0800 UTC,"19,8",65
21/1/2019,0900 UTC,"20,2",82
21/1/2019,1000 UTC,"21,1",43
21/1/2019,1100 UTC,"22,3",90
21/1/2019,1200 UTC,"23,9",83
21/1/2019,1300 UTC,"26,1",44
21/1/2019,1400 UTC,"26,7",63
21/1/2019,1500 UTC,"26,7",49
21/1/2019,1600 UTC,"27,9",79
21/1/2019,1700 UTC,"29,3",57
21/1/2019,1800 UTC,"30,3",52
21/1/2019,1900 UTC,29,76
21/1/2019,2000 UTC,"27,3",92
21/1/2019,2100 UTC,"26,5",94
21/1/2019,2200 UTC,"25,5",51
21/1/2019,2300 UTC,"25,3",93
22/1/2019,0000 UTC,"24,1",75
22/1/2019,0100 UTC,23,94
22/1/2019,0200 UTC,"22,7",82
22/1/2019,0300 UTC,"22,5",52
22/1/2019,0400 UTC,"22,1",63
22/1/2019,0500 UTC,"21,3",57
22/1/2019,0600 UTC,"21,1",43
22/1/2019,0700 UTC,"21,4",43
22/1/2019,0800 UTC,"21,4",96
22/1/2019,0900 UTC,"21,6",46
22/1/2019,1000 UTC,"22,3",60
22/1/2019,1100 UTC,"23,8",48
22/1/2019,1200 UTC,"24,2",49
22/1/2019,1300 UTC,"27,4",53
22/1/2019,1400 UTC,"28,8",98
22/1/2019,1500 UTC,"29,5",55
22/1/2019,1600 UTC,28,61
22/1/2019,1700 UTC,"28,3",51
22/1/2019,1800 UTC,"27,2",45
22/1/2019,1900 UTC,"24,6",65
22/1/2019,2000 UTC,"23,2",66
22/1/2019,2100 UTC,"22,6",88
22/1/2019,2200 UTC,"22,3",91
22/1/2019,2300 UTC,"21,8",69
23/1/2019,0000 UTC,"21,8",72
23/1/2019,0100 UTC,"21,6",83
23/1/2019,0200 UTC,"21,4",74
23/1/2019,0300 UTC,"21,5",100
23/1/2019,0400 UTC,"21,7",73
23/1/2019,0500 UTC,"21,8",72
23/1/2019,0600 UTC,"21,8",40
23/1/2019,0700 UTC,"21,8",73
23/1/2019,0800 UTC,"21,9",64
23/1/2019,0900 UTC,"22,2",51
23/1/2019,1000 UTC,"23,4",63
23/1/2019,1100 UTC,"24,8",87
23/1/2019,1200 UTC,"24,9",41
23/1/2019,1300 UTC,"26,7",69
23/1/2019,1400 UTC,"28,2",77
23/1/2019,1500 UTC,"29,1",82
23/1/2019,1600 UTC,"30,4",47
23/1/2019,1700 UTC,"30,3",46
23/1/2019,1800 UTC,"28,8",85
23/1/2019,1900 UTC,"28,8",87
23/1/2019,2000 UTC,"27,1",43
23/1/2019,2100 UTC,"25,4",43
23/1/2019,2200 UTC,"24,8",88
23/1/2019,2300 UTC,"23,7",92
24/1/2019,0000 UTC,23,53
24/1/2019,0100 UTC,"22,9",65
24/1/2019,0200 UTC,"22,2",60
24/1/2019,0300 UTC,"22,4",89
24/1/2019,0400 UTC,"21,6",57
24/1/2019,0500 UTC,22,73
24/1/2019,0600 UTC,"21,9",53
24/1/2019,0700 UTC,"21,7",91
24/1/2019,0800 UTC,22,46
24/1/2019,0900 UTC,"22,5",93
24/1/2019,1000 UTC,"23,4",95
24/1/2019,1100 UTC,"24,4",59
24/1/2019,1200 UTC,"25,9",61
24/1/2019,1300 UTC,"27,2",57
24/1/2019,1400 UTC,"27,8",79
24/1/2019,1500 UTC,28,43
24/1/2019,1600 UTC,"26,7",82
24/1/2019,1700 UTC,"22,9",51
24/1/2019,1800 UTC,"22,8",53
24/1/2019,1900 UTC,"20,5",74
24/1/2019,2000 UTC,"20,9",95
24/1/2019,2100 UTC,"20,9",83
24/1/2019,2200 UTC,"21,1",57
24/1/2019,2300 UTC,"20,4",68
25/1/2019,0000 UTC,"20,2",50
25/1/2019,0100 UTC,"20,4",100
25/1/2019,0200 UTC,"20,3",81
25/1/2019,0300 UTC,"19,4",61
25/1/2019,0400 UTC,"18,7",96
25/1/2019,0500 UTC,18,77
25/1/2019,0600 UTC,"18,1",84
25/1/2019,0700 UTC,"17,8",88
25/1/2019,0800 UTC,"17,8",45
25/1/2019,0900 UTC,"19,4",88
25/1/2019,1000 UTC,"22,1",67
25/1/2019,1100 UTC,"23,1",79
25/1/2019,1200 UTC,"24,7",93
25/1/2019,1300 UTC,"25,5",97
25/1/2019,1400 UTC,"25,9",85
25/1/2019,1500 UTC,"25,6",51
25/1/2019,1600 UTC,"26,6",75
25/1/2019,1700 UTC,"26,4",75
25/1/2019,1800 UTC,"25,6",42
25/1/2019,1900 UTC,"22,1",89
25/1/2019,2000 UTC,22,100
25/1/2019,2100 UTC,"20,6",44
25/1/2019,2200 UTC,"20,1",87
25/1/2019,2300 UTC,"20,3",41
26/1/2019,0000 UTC,"19,6",74
26/1/2019,0100 UTC,"19,4",95
26/1/2019,0200 UTC,"18,8",47
26/1/2019,0300 UTC,"18,7",47
26/1/2019,0400 UTC,"18,2",86
26/1/2019,0500 UTC,"18,2",90
26/1/2019,0600 UTC,"18,3",83
26/1/2019,0700 UTC,"18,1",45
26/1/2019,0800 UTC,"18,3",57
26/1/2019,0900 UTC,19,97
26/1/2019,1000 UTC,"21,3",99
26/1/2019,1100 UTC,"22,3",73
26/1/2019,1200 UTC,"23,7",67
26/1/2019,1300 UTC,"25,7",43
26/1/2019,1400 UTC,"25,5",63
26/1/2019,1500 UTC,"27,4",74
26/1/2019,1600 UTC,"27,9",67
26/1/2019,1700 UTC,"27,4",40
26/1/2019,1800 UTC,"27,2",86
26/1/2019,1900 UTC,"26,9",50
26/1/2019,2000 UTC,"24,3",54
26/1/2019,2100 UTC,"22,4",92
26/1/2019,2200 UTC,"21,1",90
26/1/2019,2300 UTC,"20,6",97
27/1/2019,0000 UTC,"20,1",87
27/1/2019,0100 UTC,"19,5",85
27/1/2019,0200 UTC,"19,8",41
27/1/2019,0300 UTC,"19,5",85
27/1/2019,0400 UTC,"19,3",71
27/1/2019,0500 UTC,"18,7",41
27/1/2019,0600 UTC,18,89
27/1/2019,0700 UTC,"17,8",98
27/1/2019,0800 UTC,"17,8",77
27/1/2019,0900 UTC,"18,9",52
27/1/2019,1000 UTC,"21,4",79
27/1/2019,1100 UTC,"22,9",85
27/1/2019,1200 UTC,"24,6",74
27/1/2019,1300 UTC,"24,3",60
27/1/2019,1400 UTC,25,50
27/1/2019,1500 UTC,26,62
27/1/2019,1600 UTC,"26,8",47
27/1/2019,1700 UTC,"28,6",60
27/1/2019,1800 UTC,"26,8",97
27/1/2019,1900 UTC,"28,3",51
27/1/2019,2000 UTC,"27,3",88
27/1/2019,2100 UTC,"24,5",89
27/1/2019,2200 UTC,"23,6",63
27/1/2019,2300 UTC,"22,2",59
28/1/2019,0000 UTC,"21,6",77
28/1/2019,0100 UTC,"21,2",92
28/1/2019,0200 UTC,"20,9",51
28/1/2019,0300 UTC,"20,5",99
28/1/2019,0400 UTC,"20,3",74
28/1/2019,0500 UTC,"19,8",81
28/1/2019,0600 UTC,"19,7",62
28/1/2019,0700 UTC,"19,5",74
28/1/2019,0800 UTC,"19,5",78
28/1/2019,0900 UTC,"20,7",92
28/1/2019,1000 UTC,"23,6",92
28/1/2019,1100 UTC,"25,6",94
28/1/2019,1200 UTC,"26,9",74
28/1/2019,1300 UTC,"28,3",89
28/1/2019,1400 UTC,"29,4",53
28/1/2019,1500 UTC,"29,9",98
28/1/2019,1600 UTC,"29,9",93
28/1/2019,1700 UTC,"29,4",58
28/1/2019,1800 UTC,"30,2",43
28/1/2019,1900 UTC,"30,4",82
